,text,dir,blog,keywords
0,die kleinen singvögel singen immer noch obwohl ein sturm ihre schnäbel fortnahm in meinen gedanken gedicht die kleinen singvögel die kleinen singvögel sonntag klappern der teller die mägen hängen und werden samt sonntagsbraten unter den teppich gekehrt sie bieten uns schweigen in tassen und kannen auch dort in strassen auf plätzen wo es sich in alten pfützen spiegelt aus öl oder blut ein regenbogen lacht es birst nur die nacht heute und immer das vollmondgeschenk heut schenk ich dir liebe simone aus mondlicht gewirkt eine krone auf deinem haupte sollst du sie tragen an doofen und dunklen tagen sie soll dir leuchten dann und schimmern und dich an mich erinnern ein kleines weihnachtsgedicht gazellenhaft sprang sie wieder und wieder voll übermut um den weihnachtsbaum herum ein glöckchen hier ein zapfen dort erst viel später als die lieder verklungen und zum letzten geläut die glocken anhoben schlich auf socken sie sich still betend davon für fino ich wünsche mir so sehr die koralle tief unten aus dem meer hebe sie sacht eine welle lacht schmecke salz lege sie fest um meinen hals das ist mein glück weiterlesen weiterlesen herbstgedicht für herrn atom da isser wieder der alte strolch als wäre er nur kurz weggewesen fröstelnd ziehen wir die vorhänge zu und legen uns ein wenig hin und bleiben dann da liegen bis irgendwann mal weiterlesen weiterlesen weiterlesen,0,3606,"['singvögel', 'und', 'weiterlesen', 'die', 'sie', 'kleinen', 'ein', 'lacht', 'meinen', 'wieder']"
1,annette kristin kalina deutschland akalinka web de,1,3606,"['web', 'kristin', 'deutschland', 'akalinka', 'de', 'annette', 'kalina']"
2, gedicht als die sonne noch ihr licht versteckte mein körper noch im schlaf sich reckte da fiel ich schon in diesen tag und brannte lichterloh gedicht in schweren stiefeln langer jahre stapfst du durch die dürren tage auf dem weg verlorene fragen im fußabdruck der zeit verweht die antwortgeber schnüren enger das gewand das sie einst webten als sie noch im traum der jugend durch die fetten tage schwebten weiterlesen der spaziergang gedicht der spaziergang dein kleines schweigen streift mich nur kurz mit dem möwengeschnatter fliegt es davon guten tag gedicht versiegelt die lippen die liebe der kuss stoppt die gedanken die worte den fluß verweilen im jetzt im raum in der zeit verweilen im kuß der ewigkeit dornröschen gedicht und war ich einst trunken in stürmischer nacht hab taten am rande des abgrunds vollbracht hab tränen aus staub und aus steinen geweint und sorgsam das leben der andren entkeimt und hinter und drunter und nachher geschaut und mauern aus zukunft und gestern gebaut bis blitze und regen und sonne erschienen und nichts ist und nichts ist und nichts ist geblieben,2,3606,"['und', 'spaziergang', 'die', 'im', 'der', 'verweilen', 'gedicht', 'nichts', 'sonne', 'einst']"
3,die kleinen singvögel singen immer noch obwohl ein sturm ihre schnäbel fortnahm in meinen gedanken gedicht die kleinen singvögel die kleinen singvögel,3,3606,"['singvögel', 'kleinen', 'schnäbel', 'fortnahm', 'sturm', 'obwohl', 'die', 'singen', 'meinen', 'gedanken']"
4,die kleinen singvögel singen immer noch obwohl ein sturm ihre schnäbel fortnahm in meinen gedanken gedicht die kleinen singvögel die kleinen singvögel sonntag klappern der teller die mägen hängen und werden samt sonntagsbraten unter den teppich gekehrt sie bieten uns schweigen in tassen und kannen auch dort in strassen auf plätzen wo es sich in alten pfützen spiegelt aus öl oder blut ein regenbogen lacht es birst nur die nacht heute und immer das vollmondgeschenk heut schenk ich dir liebe simone aus mondlicht gewirkt eine krone auf deinem haupte sollst du sie tragen an doofen und dunklen tagen sie soll dir leuchten dann und schimmern und dich an mich erinnern ein kleines weihnachtsgedicht gazellenhaft sprang sie wieder und wieder voll übermut um den weihnachtsbaum herum ein glöckchen hier ein zapfen dort erst viel später als die lieder verklungen und zum letzten geläut die glocken anhoben schlich auf socken sie sich still betend davon für fino ich wünsche mir so sehr die koralle tief unten aus dem meer hebe sie sacht eine welle lacht schmecke salz lege sie fest um meinen hals das ist mein glück weiterlesen herbstgedicht für herrn atom da isser wieder der alte strolch als wäre er nur kurz weggewesen fröstelnd ziehen wir die vorhänge zu und legen uns ein wenig hin und bleiben dann da liegen bis irgendwann mal weiterlesen weiterlesen als die sonne noch ihr licht versteckte mein körper noch im schlaf sich reckte da fiel ich schon in diesen tag und brannte lichterloh in schweren stiefeln langer jahre stapfst du durch die dürren tage auf dem weg verlorene fragen im fußabdruck der zeit verweht die antwortgeber schnüren enger das gewand das sie einst webten als sie noch im traum der jugend durch die fetten tage schwebten weiterlesen,5,3606,"['singvögel', 'die', 'sie', 'und', 'weiterlesen', 'kleinen', 'ein', 'als', 'in', 'noch']"
5,sonntag klappern der teller die mägen hängen und werden samt sonntagsbraten unter den teppich gekehrt klappern der teller,6,3606,"['teller', 'klappern', 'sonntagsbraten', 'mägen', 'gekehrt', 'hängen', 'teppich', 'samt', 'sonntag', 'werden']"
6,sie bieten uns schweigen in tassen und kannen auch dort in strassen auf plätzen wo es sich in alten pfützen spiegelt aus öl oder blut ein regenbogen lacht es birst nur die nacht heute und immer gedicht sie bieten uns,7,3606,"['bieten', 'uns', 'öl', 'strassen', 'regenbogen', 'plätzen', 'kannen', 'birst', 'spiegelt', 'pfützen']"
7,das vollmondgeschenk heut schenk ich dir liebe simone aus mondlicht gewirkt eine krone auf deinem haupte sollst du sie tragen an doofen und dunklen tagen sie soll dir leuchten dann und schimmern und dich an mich erinnern,8,3606,"['vollmondgeschenk', 'sollst', 'schimmern', 'mondlicht', 'krone', 'haupte', 'dunklen', 'doofen', 'dir', 'simone']"
8,ein kleines weihnachtsgedicht gazellenhaft sprang sie wieder und wieder voll übermut um den weihnachtsbaum herum ein glöckchen hier ein zapfen dort erst viel später als die lieder verklungen und zum letzten geläut die glocken anhoben schlich auf socken sie sich still betend davon ,9,3606,"['übermut', 'zapfen', 'weihnachtsgedicht', 'weihnachtsbaum', 'verklungen', 'schlich', 'glocken', 'geläut', 'gazellenhaft', 'betend']"
9,für fino ich wünsche mir so sehr die koralle tief unten aus dem meer hebe sie sacht eine welle lacht schmecke salz lege sie fest um meinen hals das ist mein glück,10,3606,"['koralle', 'fino', 'lege', 'hals', 'salz', 'hebe', 'schmecke', 'fest', 'welle', 'wünsche']"
10,kalinas infos zum tage täglicher gedichtservice,12,3606,"['gedichtservice', 'infos', 'täglicher', 'kalinas', 'tage', 'zum']"
11,herbstgedicht für herrn atom da isser wieder der alte strolch als wäre er nur kurz weggewesen fröstelnd ziehen wir die vorhänge zu und legen uns ein wenig hin und bleiben dann da liegen bis irgendwann mal ,13,3606,"['weggewesen', 'vorhänge', 'strolch', 'isser', 'fröstelnd', 'herbstgedicht', 'legen', 'herrn', 'irgendwann', 'wenig']"
12,auf deinem fahrrad als mein herz sich aus dem autofenster schwang,15,3606,"['schwang', 'fahrrad', 'autofenster', 'deinem', 'herz', 'mein', 'als', 'dem', 'aus', 'sich']"
13,sonntag klappern der teller die mägen hängen und werden samt sonntagsbraten unter den teppich gekehrt klappern der teller sie bieten uns schweigen in tassen und kannen auch dort in strassen auf plätzen wo es sich in alten pfützen spiegelt aus öl oder blut ein regenbogen lacht es birst nur die nacht heute und immer,17,3606,"['teller', 'klappern', 'öl', 'strassen', 'sonntagsbraten', 'regenbogen', 'plätzen', 'mägen', 'kannen', 'gekehrt']"
14,das vollmondgeschenk heut schenk ich dir liebe simone aus mondlicht gewirkt eine krone auf deinem haupte sollst du sie tragen an doofen und dunklen tagen sie soll dir leuchten dann und schimmern und dich an mich erinnern ein kleines weihnachtsgedicht gazellenhaft sprang sie wieder und wieder voll übermut um den weihnachtsbaum herum ein glöckchen hier ein zapfen dort erst viel später als die lieder verklungen und zum letzten geläut die glocken anhoben schlich auf socken sie sich still betend davon ,18,3606,"['sie', 'und', 'übermut', 'zapfen', 'weihnachtsgedicht', 'weihnachtsbaum', 'vollmondgeschenk', 'verklungen', 'sollst', 'schlich']"
15,archiv für den monat november gedicht herbstgedicht für herrn atom da isser wieder der alte strolch als wäre er nur kurz weggewesen fröstelnd ziehen wir die vorhänge zu und legen uns ein wenig hin und bleiben dann da liegen bis irgendwann mal weiterlesen,20,3606,"['weggewesen', 'vorhänge', 'strolch', 'isser', 'fröstelnd', 'herbstgedicht', 'legen', 'herrn', 'november', 'irgendwann']"
16,archiv für den monat mai gedicht frühlingsblütenhaft lächelnd auf deinem fahrrad als mein herz sich aus dem autofenster schwang auf deinem fahrrad als mein herz sich aus dem autofenster schwang,21,3606,"['schwang', 'fahrrad', 'autofenster', 'deinem', 'lächelnd', 'frühlingsblütenhaft', 'herz', 'mein', 'mai', 'als']"
17,archiv für den monat april gedicht als die sonne noch ihr licht versteckte mein körper noch im schlaf sich reckte da fiel ich schon in diesen tag und brannte lichterloh als die sonne noch,22,3606,"['sonne', 'noch', 'versteckte', 'lichterloh', 'reckte', 'april', 'brannte', 'schlaf', 'als', 'fiel']"
18,archiv für den monat märz gedicht in schweren stiefeln langer jahre stapfst du durch die dürren tage auf dem weg verlorene fragen im fußabdruck der zeit verweht die antwortgeber schnüren enger das gewand das sie einst webten als sie noch im traum der jugend durch die fetten tage schwebten weiterlesen der spaziergang gedicht der spaziergang dein kleines schweigen streift mich nur kurz mit dem möwengeschnatter fliegt es davon,23,3606,"['spaziergang', 'tage', 'möwengeschnatter', 'durch', 'webten', 'verweht', 'stiefeln', 'stapfst', 'schwebten', 'schnüren']"
19,archiv für den monat februar gedicht versiegelt die lippen die liebe der kuss stoppt die gedanken die worte den fluß verweilen im jetzt im raum in der zeit verweilen im kuß der ewigkeit versiegelt die lippen stoppt die gedanken verweilen im jetzt verweilen im kuß,24,3606,"['verweilen', 'versiegelt', 'stoppt', 'kuß', 'im', 'die', 'lippen', 'gedanken', 'jetzt', 'februar']"
20,archiv für den monat november gedicht und war ich einst trunken in stürmischer nacht hab taten am rande des abgrunds vollbracht hab tränen aus staub und aus steinen geweint und sorgsam das leben der andren entkeimt und hinter und drunter und nachher geschaut und mauern aus zukunft und gestern gebaut bis blitze und regen und sonne erschienen und nichts ist und nichts ist und nichts ist geblieben die kleine meerjungfrau erfasst eine sturmböe was ihr zu denken gibt gedicht er kam durch die nacht berührte sie sacht mit augen so klar wie der himmel war er gab ihr den kelch und sie trank ihn ganz da ward um sie herum ein gar prächtiger glanz so sassen sie stumm und ohne gedanken und um sie herum fielen sämtliche schranken,25,3606,"['und', 'nichts', 'sie', 'herum', 'sturmböe', 'meerjungfrau', 'erfasst', 'hab', 'aus', 'nacht']"
21,des dichters arbeit gar vielgestalt ist an manchen tagen der reim nur so fliesst an anderen stehn alle worte prinzipiell am falschen orte und in wieder andren fällen versiegen einfach alle quellen da schaut der dichter still und stumm aufs blatt und in der gegend rum weiterlesen nun ist es herbst da ist er wieder der schmerz den kenn ich doch schon vom letzten jahr da war er auch schon mal da dies ist die spontane erste version ich überarbeite das eventeull nochmal ich wollte nur nicht warten bis mir was richtig gutes einfällt weil das könnte noch sehr lange dauern und ich wollte sie herr atom jetzt nicht mehr warten lassen weiterlesen ,26,3606,"['warten', 'da', 'wollte', 'ist', 'ich', 'alle', 'überarbeite', 'vielgestalt', 'version', 'spontane']"
22,archiv für den monat september gedicht zabaionefarbene worte tropfen von mund zu mund in süßem schweigen ohne grund verschluckt geflüstert filetiert serviert geatmet in spiralnebeliger nacht,27,3606,"['mund', 'zabaionefarbene', 'verschluckt', 'süßem', 'spiralnebeliger', 'serviert', 'september', 'geflüstert', 'geatmet', 'filetiert']"
23,archiv für den monat august gedicht laß mich deine speise sein dein wein laß mich als blut in deinen adern fliessen ein tropfen bin ich werd mit dir zum meer ich liebe dich so sehr maria hilf t gedicht ich mag dich so gern bist mein leuchtender stern mein licht in der nacht und küsst du mich sacht bist du ufer und grund meine lippen mein mund gehören dir ganz war mein herz einst auch wund du umgibst es mit glanz unterwegs zu neuen ufern gedicht der wind er flüstert deinen namen der regen tropft ihn mir ins ohr dass es mich einst ohne dich gab kommt mir so seltsam vor alle vögel singen nur von dir will ich lesen dein name steht auf dem papier ob film musik oder geschichten der inhalt variiert nicht viel seh ich doch überall nur dich du meiner sehnsucht ziel im pferdehimmel frisch voran gedicht manch gülden wort ist sie gestillt so bleibt es fort am topf gedicht sie stand am topf liess sorglosigkeit walten schnitt den zopf den alten eínfach ab,28,3606,"['dich', 'mein', 'topf', 'gedicht', 'laß', 'du', 'dir', 'deinen', 'mich', 'ich']"
24,archiv für den monat juli gedicht die araltankstelle in der nacht hat mich natürlich nicht um den schlaf gebracht ich hätte nie gedacht sie sei ein ufo oder so ich wusste ja von anfang an bescheid,29,3606,"['ufo', 'araltankstelle', 'juli', 'bescheid', 'wusste', 'schlaf', 'gebracht', 'gedacht', 'anfang', 'hätte']"
25,archiv für den monat juni gedicht wenn der regen fällt verändert sich die welt nicht sie wird nur nässer ist das besser oder nicht weichgespült und blütenweiss gedicht seit tagen schon so weichgespült mit haut und haar und in gedanken die seelensalbe hat gewirkt das herz verteilt sich ohne schranken auf alles was da kreucht und fleucht und ich ich lache nur den ganzen tag und auch am abend und erst in der nacht wird so was von gelacht wolken mandala gedicht an diesem tag als ich plötzlich spürte wie sehr ich dich mag gedicht in liebe sind wir eins mit allem ohne liebe drohen wir über den rand der welt zu fallen gedicht in worten badet unser geist am tag und auch am abend allein wortlos ist die nacht im traum wo unsere seele lacht,30,3606,"['weichgespült', 'und', 'gedicht', 'tag', 'abend', 'am', 'welt', 'ich', 'mandala', 'blütenweiss']"
